Sentiment,User,Post Content
Neutral,@carpedonktum,"Just a friendly reminder that the FBI, CIA, and NSA have access to the realtime tracking of every phone connected to a network in America. They also have AI listening and transcribing everything that is picked up by the microphone whether you are using the phone or not. Big Tech knows more about you than your parents or your spouse. If COVID was actually a highly dangerous pandemic, they would know instantly who to quarantine. If they were serious about ending political violence, they could arrest EVERYONE planning ANYTHING in a weekend. If they cared about voter fraud, they could print off a list of everyone who committed it And if they cared about lowering crime they would have already made the world a safer and better place. They don't care about you, you are their means to power and wealth, you are a commodity not a consumer. Enjoy your day!"
Neutral,@carpedonktum,"Just a friendly reminder that the FBI, CIA, and NSA have access to the realtime tracking of every phone connected to a network in America. They also have AI listening and transcribing everything that is picked up by the microphone whether you are using the phone or not. Big Tech knows more about you than your parents or your spouse. If COVID was actually a highly dangerous pandemic, they would know instantly who to quarantine. If they were serious about ending political violence, they could arrest EVERYONE planning ANYTHING in a weekend. If they cared about voter fraud, they could print off a list of everyone who committed it And if they cared about lowering crime they would have already made the world a safer and better place. They don't care about you, you are their means to power and wealth, you are a commodity not a consumer. Enjoy your day!"
Neutral,@carpedonktum,"Just a friendly reminder that the FBI, CIA, and NSA have access to the realtime tracking of every phone connected to a network in America. They also have AI listening and transcribing everything that is picked up by the microphone whether you are using the phone or not. Big Tech knows more about you than your parents or your spouse. If COVID was actually a highly dangerous pandemic, they would know instantly who to quarantine. If they were serious about ending political violence, they could arrest EVERYONE planning ANYTHING in a weekend. If they cared about voter fraud, they could print off a list of everyone who committed it And if they cared about lowering crime they would have already made the world a safer and better place. They don't care about you, you are their means to power and wealth, you are a commodity not a consumer. Enjoy your day!"
Neutral,@flintbedrock,"Florida Gov. Ron DeSantis has vowed to not place the state on a second lockdown or issue a statewide mask mandate, despite many other states who have reinstated restrictions following COVID-19 surges."
Neutral,@ALX,Fauci: There is NO appetite for another lockdown. Then why are people still pushing lockdowns? Via  @TrishRegan
Neutral,@Jenny0,WHO rejects lockdowns. But Democrat Governors implement them anyways. #nomasks #lockdown #democratsaredestroyingamerica  #trump2020
Neutral,@Jenny0,WHO rejects lockdowns. But Democrat Governors implement them anyways. #nomasks #lockdown #democratsaredestroyingamerica  #trump2020
Neutral,@DaveRPh,"The COVID lockdowns were part of a multi-faceted attack on our election system by the Democrats. In most instances, the current lockdowns violate the US Constitution. Ask your Governor where the US Constitution mentions exceptions for 'pandemics'. Ask your Governor if they have scientific data to back up their plan. Data, not the opinions of some scientists. Opinions vary, data does not."
Neutral,@Ashtendiaries,#echo if you agree!! 🗣❤️🤍💙 #covid #covid19 #coronavirus #lockdown #lockdowns #pandemic #fauci #fakenews #anthonyfauci #trump2020 #election2020 #2020election #voterfraud #cancelculture #twitter #facebook #china #trump #biden #joebiden #kamalaharris #bidenharris #trumppence #freespeech #usa #america #americafirst #draintheswamp #candaceowens #mybodymychoice #freedom #freedomofspeech
Neutral,@Cory74,"Today's COVID count in California w/ lockdowns: California / COVID-19 1.029 million total confirmed cases November 16, 2020 Yet Texas has relatively the same without lockdowns. Doesn't seem like we've identified what works best aside from one way destroys your life regarding the 100s of other elements surrounding life, liberty, & the pursuit of happiness."
Neutral,@Grbernauer2,With the rise in lockdowns
Neutral,@jamesleopold,"If lockdowns work so well, why would we need another?"
Neutral,@JimJordan,-Lockdowns -Mask police -Curfews  What about freedom?
Neutral,@JimJordan,-Lockdowns -Mask police -Curfews  What about freedom?
Neutral,@JimJordan,-Lockdowns -Mask police -Curfews  What about freedom?
Neutral,@GIMarco,#lockdowns #curfew #covid #bullshit #prison
Neutral,@DocZ1949,Why do we need lockdowns if face-masks work? Asking for a friend....
Neutral,@JimJordan,Don’t cancel Thanksgiving.  Don’t cancel Christmas.  Cancel lockdowns.
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@JimJordan,Don’t cancel Thanksgiving.  Don’t cancel Christmas.  Cancel lockdowns.
Neutral,@JimJordan,Don’t cancel Thanksgiving.  Don’t cancel Christmas.  Cancel lockdowns.
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@dmwlaw23,Hypocritical California lawmakers attend conference in Maui while common folks suffer through lockdowns.
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@EvanKilgore,When are Americans going to say enough is enough? Lockdowns should be over once and for all and they aren't going to end until we put out foot down.
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@JimJordan,Don’t cancel Thanksgiving.  Don’t cancel Christmas.  Cancel lockdowns.
Neutral,@JimJordan,Don’t cancel Thanksgiving.  Don’t cancel Christmas.  Cancel lockdowns.
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@JimJordan,Don’t cancel Thanksgiving.  Don’t cancel Christmas.  Cancel lockdowns.
Neutral,@DiamondAndSilk,Wonder if the reason these Governors are pushing lockdowns could be to stop the courts from operating? Something to think about....
Neutral,@Badlands3006,Every single Californian should be madder than hell about this. Say no to lockdowns! Protest 24/7 in front of satanist Newsome’s house.
Neutral,@DiamondAndSilk,Governors do not have the right to take away freedoms by choosing lockdowns for Americans instead of allowing Americans to make their own choice with therapeutic medicines or a vaccine!
Neutral,@DiamondAndSilk,Governors do not have the right to take away freedoms by choosing lockdowns for Americans instead of allowing Americans to make their own choice with therapeutic medicines or a vaccine!
Neutral,@go4gin,Heroic Dr. Scott Atlas Demands That 'People Rise Up' Against Next Round of COVID-19 Lockdowns - Big League Politics
Neutral,@DiamondAndSilk,Governors do not have the right to take away freedoms by choosing lockdowns for Americans instead of allowing Americans to make their own choice with therapeutic medicines or a vaccine!
Neutral,@DiamondAndSilk,Governors do not have the right to take away freedoms by choosing lockdowns for Americans instead of allowing Americans to make their own choice with therapeutic medicines or a vaccine!
Neutral,@go4gin,Heroic Dr. Scott Atlas Demands That 'People Rise Up' Against Next Round of COVID-19 Lockdowns - Big League Politics
Neutral,@DiamondAndSilk,Governors do not have the right to take away freedoms by choosing lockdowns for Americans instead of allowing Americans to make their own choice with therapeutic medicines or a vaccine!
Neutral,@DiamondAndSilk,Governors do not have the right to take away freedoms by choosing lockdowns for Americans instead of allowing Americans to make their own choice with therapeutic medicines or a vaccine!
Neutral,@DiamondAndSilk,Governors do not have the right to take away freedoms by choosing lockdowns for Americans instead of allowing Americans to make their own choice with therapeutic medicines or a vaccine!
Neutral,@DiamondAndSilk,Governors do not have the right to take away freedoms by choosing lockdowns for Americans instead of allowing Americans to make their own choice with therapeutic medicines or a vaccine!
Neutral,@DiamondAndSilk,"The left wing media, including Fox will never get us to believe that 77 million people voted to have more lockdowns and their livelihoods flattened!"
Neutral,@GrammyTammy10,"You're being asked to believe that 300,000 people are fleeing New York because they fear covid. Bullsh*t They're escaping the lockdowns, just like in Paris!"
Neutral,@DiamondAndSilk,"The left wing media, including Fox will never get us to believe that 77 million people voted to have more lockdowns and their livelihoods flattened!"
Neutral,@Cnorthupku,When will the people of this country realize that the people elected into government work for us. Mandating lockdowns and masks is unconstitutional. People need to stop acting like sheep.
Neutral,@DancrDave,All of these idiots pushing lockdowns due to the Wuhan Flu remind me of 2 Thessalonians 2:11: For this reason God sends them a powerful delusion so that they will believe the lie.
Neutral,@Halfdan,"Doctors from the Netherlands, Ireland, and other countries are filing lawsuits to stop lockdowns. PCR tests shouldn’t be used. Watch this video - it’s powerful! It needs to start trending!"
Neutral,@Halfdan,"Doctors from the Netherlands, Ireland, and other countries are filing lawsuits to stop lockdowns. PCR tests shouldn’t be used. Watch this video - it’s powerful! It needs to start trending!"
Neutral,@ElaineRump,Ignore all lockdowns and curfews Fight back democrats are trying to control us they are afraid of civil unrest this is the real reason  I sAy time to revolt make their fears come true
Neutral,@BillyBarrell,"Masks don’t work. Lockdowns don’t work. They know it. #GreatReset is designed to cause economic ruin, using #Chinavirus and Democrats.  Resistance is not futile. Do not give in. Liberty is at stake. Wake up America!!"
Neutral,@1Surfaben,"TAKE IT TO THE REAL SCOTUS...our Constitutional Justices are waiting! already Demoncrat governors are instituting LOCKDOWNS, NO HOLIDAYS, NO BUSINESSES, NO SCHOOLS...just no American allowed to live life FREE IS OVER? President Trump Won ELECTION BY LEGAL VOTES on Nov3rd!"
Neutral,@AJCats,"It feels like Mayor de Blasio is holding New Yorkers hostage with his lockdowns.  Coincidentally, there is currently an actual hostage situation in Queens with armed gunmen. Too bad law abiding citizens can’t have guns in NYC, just the criminals. Praying for everyone involved 🙏🏻"
Neutral,@Brianbaja,"I want to believe Sidney and the other attorneys about proof, and it is blatantly obvious the election was a complete sham, but time is of the essence. What the hell are they waiting for? It is past time to release the evidence. Enough with the BS talk. Let’s see it, let’s go, end this Biden thinking he is President shit. Already lockdowns, Paris accord, open borders, and taking credit for the phenomenal job TRUMP did with the pandemic."
Neutral,@BillySpider,"Just imagine what panic will ensue if these MANDATORY artificial lockdowns are combined with internet blackouts? This is such an OBVIOUS time pick (right after US elections). They SEE we are about to DE-POWER the Dirty Democrat family cabal fuck-up's & are going to do änother""co-ordinated riot-push loose their lunch, but this time internationally, all at once in an orgy- fentanyl f-fest. We need to start moving these pronouners DOWN & eliminating their doper beta-lesbo-ärmy. :) #MAGA2020"
Neutral,@BillySpider,"So sick of the Fake News & their Dirty Democrat Crime families DEFRAUDING CITIZENS by pushing unnecessary lockdowns, business & school closings based on positive test results ALONE, NOT DEATHS, like these ""concerned""ABORTIONISTS GIVEHIT ABOUT ""Lives "", while keeping their STUPID, FAT MOUTHS SHUT ABOUT """"""THEIR"""""" (pre-planned, pre-meditated) RIOTERS, LOOTERS & STREET SCUM ASSAULTER/MURDFERERS! THAT is ANOTHER clear reason Dirty Democrats are WORTHLESS SCUM & are getting REMOVED FROM POWER! :) #HelloDirtyDemocratScumComeAtMeScumReadyAndWaitingForYouScum #MAGA2020"
Neutral,@FrantzRadio,"I just signed the Great Barrington Declaration, and I am asking you to do the same. This declaration has been co-signed by over 46,000 physicians and scientists, along with nearly 650,000 concerned citizens, including me. This declaration, written by infectious disease specialists and epidemiologists, explains how much MORE dangerous mandatory lockdowns are to the public health than Covid-19 is. It calls for Focused Protection of the most vulnerable, and freedom for the general population, with an end goal of herd immunity.  Please click the link to read the declaration, then find the ""Click to Sign"" button."
Neutral,@Edlynn5,"If people are calling you ""careless"" or shaming you in any way for possibly having Thanksgiving, Christmas or New Years with your family because of Covid, ask them why they are virtue signaling.  If they say they aren't virtue signaling but are wanting to ""save lives"", consider asking them the following questions: 1. What are you doing to solve suicides and people now considering suicide who never have before? 2. What are you doing to protect the children stuck at home in abusive environments with no escape? 3. What are you doing to help those who are losing their business, job and livelihoods? 4. What are you doing to help the families who are going hungry over the holidays because of lost income, jobs and retirement? 5. What are you doing about the increased drug and alcohol addictions that are destroying lives because of the lockdowns? 6. What are you doing to help the increased domestic abuse  I CANT TAKE CREDIT FOR The post BUT READ THIS"
Neutral,@JohnTylerPatriot,It really is this simple.  @NYGovCuomo  has completely gutted and eviscerated New York State since 2010 and has only been blaming President Trump because the President turned off the Federal ATM machine that’s had been refilling Cuomos coffers every time he squandered the taxpayer’s money.  That is what the lockdowns are really about.  Make the people suffer.  Blame the President for withholding federal funds.  Steal an election to install Biden.  Open the Federal ATM to all Liberal States again.  Back to business as usual.  Watch how fast Covid disappears.  @ajcats @marklevinshow @ryanafournier @tuckercarlson @mariabartiromo @Liloudmajority @therealjameswoods @erictrump @donaldjtrumpjr @dbongino  @newsmax  @oann  @RepMattGaetz   @RepAndyBiggs   @RepLeeZeldin   @RepKevinMcCarthy   @RepLouieGohmert   @RepSteveScalise  @drgosar @reparrington @republicanchick @repdonbacon @reprickcrawford @nmalliotakis  #fakenews #thestormishere #thegreatawakening #releasethekracken #impeachcuomo #arrestcuomo #recountny
Neutral,@arnoldschultz228,"France to postpone unwinding of Covid lockdown, but gradual steps are in the works – govt"
Neutral,@BakerDew,We already have had shutdowns it didn't work! Why do they think if we shutdown again it will be a magic cure?
Neutral,@Faithman47,DATE 11/17/2020 NEW SHUT DOWN ORDER IN DANE CNTY WISCONSIN PROOF RIGHT HERE!! CONTACT THE MAYORS OFFICE & SAY *** NO*** TO MORE SHUTDOWNS!!!
Neutral,@Dreamtodreamsf,Stop with the shutdowns!!! Enough is enough!! ECO ECO ECO ECO  Dr. Fauci’s Own Family Turns On Him – Says They Can’t Stand Behind His Flip-Flopping on COVID – Conservative Media
Neutral,@CraigTheTechTeacher,"""The COVE study includes more than 7,000 Americans over the age of 65. It also includes more than 5,000 Americans who are under the age of 65 but have high-risk chronic diseases that put them at increased risk of severe COVID-19, such as diabetes, severe obesity and cardiac disease. These medically high-risk groups represent 42% of the total participants in the Phase 3 COVE study."" #News #FakeNews #MSM #Media #SocialMedia #Politics #ArmyForTrump #Trump #Biden #Election #Moderna #COVID19 #COVID #Shutdowns #Vaccine"
Neutral,@CommunistsDeserveToDie,"Pakistan is receiving $25 million in a package supposedly aimed to help America get through the shutdowns; $15 million is going to “democracy programs,” while another $10 million is being allocated towards unspecified “gender programs.” After receiving $25 million in the first COVID stimulus, the Kennedy Center is receiving $40 million for operations, maintenance, and renovations. Unsurprisingly, several senators and representatives, including House Speaker Nancy Pelosi, D-Calif., and Senate Majority Leader Mitch McConnell, R-Ky., are on the board. The bill is quite preoccupied with diversity endeavors within the government. The Office of Diversity and Inclusion of the Appropriations Committee are receiving $1.5 million. Further, the bill gives national intelligence 180 days to demonstrate “exercising hiring flexibilities” to “assure quality and diversity of the workforce.”"
Neutral,@cctalk,I’m more worried about the never ending lock downs then catching the actual covid virus.
Neutral,@Eklektos44,"""What fraud? What errors? What mistakes. Nothing to see here, move a long. All hail President Dementia. Shut up and stay in your house conservatives!"" Here's the deal l. Fix the election, end the unconstitutional lock downs and Nanny State mandates! That or face an armed revolt. I don't give an crap which at this point, but the sheeple might!"
